assisted_bathing,When one character is [[bathing]] another.
them's_fightin'_herds,"https://en.wikipedia.org/wiki/Them%27s_Fightin%27_Herds

""Them's Fightin' Herds is an indie fighting game developed by Mane6 and published by Maximum Games. Atypical of most side-scrolling fighting games, it features a cast of all-female ungulate characters fighting each other to find a champion worthy of gaining a magical key that will protect their world from predators. First released into early access in February 2018, the full release was on April 30, 2020 for Microsoft Windows, followed by Linux on March 25, 2021 and a beta macOS version was added on October 27, 2021. The game was released for [[Nintendo Switch]], [[PlayStation 4]], [[PlayStation 5]], [[Xbox One]], and Xbox Series X/S on October 18, 2022.

The project is a spiritual successor to Mane6's original planned fighting game Fighting Is Magic based on the animated television show My Little Pony: Friendship Is Magic. Mane6 was a team of nine developers and part of the adult fandom of the show. Fighting Is Magic featured the six main pony characters from that show. Early versions of this game were released in 2012, drawing attention from both players in the Evolution Championship Series due to the unique moves associated with non-bipedal characters in fighting games, as well as from Hasbro which owned the intellectual property to My Little Pony. After Hasbro sent Mane6 a cease and desist letter, Mane6 discarded the assets tied to the show, while keeping some of the fundamental gameplay factors to create the new title Them's Fightin' Herds. The creator of My Little Pony: Friendship Is Magic, Lauren Faust, offered to help with designing the new characters for the game. The development of the game was completed with crowdfunding through Indiegogo.

Them's Fightin' Herds is a fighting game based on sapient four-legged hoofed creatures from the world of Fœnum, which is being threatened by the return of carnivorous beasts known as the Predators. The Predators were locked away in a separate realm, but they have found a way to escape it. To put an end to the threat, selected champions of the various Fœnum races are chosen as ""Key Seekers"" by their tribes to find the key that will lock the Predators away again. The Key Seekers must face each other in a friendly competition to determine which one will be the Key Keeper who will face the champion of the Predators.

There are six playable characters—[[Arizona_cow_(tfh)|Arizona the cow]] (voiced by Tara Strong), [[Velvet_reindeer_(tfh)|Velvet the reindeer]] (Tia Ballard), [[Paprika_paca_(tfh)|Paprika the alpaca]] (Marieve Herington), [[Oleander_(tfh)|Oleander the unicorn]] (Alexa Kahn) who can summon a demonic being known as [[fhtng_the_unspeakable|""Fred""]] (Keith Ferguson), [[Pom_(tfh)|Pom the sheep]] (Allie Moreno) and [[Tianhuo_(tfh)|Tianhuo the longma]] (Kay Bess)—each with different fighting move sets and unique movement options such as flight, short hops, double jumps, or air dashes. Jessica Gee voices the game's announcer. A seventh playable character, pirate goat [[Shanty_(tfh)|Shanty]] (Afi Ekulona), was also released as downloadable content due to the crowdfunding campaign reaching its stretch goals; she was later included in the base roster for the console versions. Additional characters are planned for release via a season pass, including Arizona's bull father [[Texas_(tfh)|Texas]] (Patrick Seitz) and three others.

h4.Additional links:

* ""Official website"":http://www.mane6.com/
* ""Official YouTube"":https://www.youtube.com/user/ManeSixDev
* ""Official Twitter"":https://twitter.com/ManeSix
* ""Indiegogo"":https://www.indiegogo.com/projects/them-s-fightin-herds
* ""Steam"":http://steamcommunity.com/sharedfiles/filedetails/?id=523129840
"
houkuko,Twitter is not being updated (last tweet at 07/2013)
gearkulaas,belongs to http://www.furaffinity.net/user/omeganeep/
momo_(creepypasta),"Momo is the nickname given to a sculpture created by a Japanese special effects company. (""Link Factory"")
The spread of Momo as a creepypasta icon seems to stem from rumors of a mysterious ""WhatsApp"" number sending disturbing images to those who try to contact it.
[section=Momo's Avian Features]
1) Her mouth seems to come to a point, somewhat resembling a beak.
2) Her arms/hands are covered in rough skin like that of many birds' feet.
3) Her long nails look like talons.
4) Since the sculpture only has half of a body, she is shown to walk with her bird-like arms/hands, making the resemblance to a bird even more obvious.[/section]"
spitfiremlp,"Character Owner: ""SpitfireMLP"":https://www.furaffinity.net/user/spitfiremlp"
hauntzor,"artist may be inactive, pages are deactivated or inactive"
blue_chest_tuft,"Used when a character has a [[chest tuft]] colored in blue.

https://en.wikipedia.org/wiki/Blue

h4. Tags About Chest Tuft

* [[chest_tuft]]

[section=Colors]

h4. Chest Tuft [[tag_group:colors|Colors]]

* [[black_chest_tuft]]
* [b]blue_chest_tuft[/b]
* [[grey_chest_tuft]]
* [[orange_chest_tuft]]
* [[pink_chest_tuft]]
* [[tan_chest_tuft]]
* [[white_chest_tuft]]

* [[light_chest_tuft]]

[/section]"
tall,"Tall characters are normally over 5'5"", but it can vary due to regional height averages and context. Refer to the article linked below to learn more:
https://en.wikipedia.org/wiki/Human_height

These characters are not to be confused with [[macro|macros]], as they are usually related to fetishes like [[growth]].

This tag should only be used when there is another character or an appropriate background to compare who is the taller one.

h4. See also
* [[height_chart]]
* [[short]] - The complete opposite of this tag.
* [[size_difference]]"
rollwulf,"""Deviantart"":http://rollwulf.deviantart.com/
""Furaffinity"":http://www.furaffinity.net/user/rollwulf/"
rusty_(rustytheorangehusky),Rusty is an OC of [[rustytheorangehusky]]
colored_pencil_(artwork),"For artwork which has been made using colored pencils as an art medium in at least part of the image.

Note: If used in combination with another art medium, also tag it with [[mixed_media]].

h4.Traditional media materials:

* [[traditional_media_(artwork)]]
** colored_pencil_(artwork)
** [[crayon_(artwork)]]
** [[marker_(artwork)]]
** [[painting_(artwork)]]
** [[pastel_(artwork)]]
** [[pen_(artwork)]]
** [[pencil_(artwork)]]
** [[sculpture_(artwork)]]
** [[watercolor_(artwork)]]

h4.Media types:

* [[digital_media_(artwork)]]
** [[3d_(artwork)]]
** [[digital_drawing_(artwork)]]
** [[digital_painting_(artwork)]]
** [[pixel_(artwork)]]
* [[mixed_media]]
* [[photography_(artwork)]]
* [[traditional_media_(artwork)]]

See also: [[tag_group:art]]"
suruga_(xsurugax),"Not to be confused with the other ""suruga"":/artists/4733."
michelle_rayer,"Mike Rayers female/herm version
Owned by https://www.furaffinity.net/user/coolboy01/"
peddles,Peddles is a genderbent version of [[flowey the flower]] from the erotic parody comic [[under(her)tail]] by [[thewill]].
potion_nova_(mlp),"Potion Nova is a [[unicorn]] from the TV show [[My Little Pony: Pony Life]]. She is the potion maker of all silliest potions.

She has a pastel mane with purple, pink and blue highlights. Her coat is white, her eyes are blue, and her cutie mark is a pink bubbling potion in a beaker. "
hairless_butt,"When a character otherwise covered by fur, hair, or plumage has a butt that is bare. Often depicted on [[primate]] characters."
human_edit,"thumb #3840596  thumb #3859756

A third-party edit of an image that changes an [[anthro]] or otherwise non-human character into a [[human]]. 

* This is almost always seen done to posts that feature a [[faceless male]] or [[disembodied penis]]
* Rarely involves doing more than recolouring character to a human skin tones, and removing fur tufts or claws when necessary


h4. See Also
* [b][[third-party edit]][/b]
** [[color edit]]
** [[comic edit]]
** [[expression edit]]
** [b]human edit[/b]
** [[nude edit]]
** [[screencap edit]]
** [[translation edit]]"
gargomon,"""Gargomon"":http://digimon.wikia.com/wiki/Gargomon is an Animal [[Digimon]] whose name and design are derived from the Galgo [[dog]] breed. It digivolved from [[Terriermon]], and is a Hunter Digimon skilled in hunting. Despite its outward appearance, it uses attacks of unparalleled accuracy to reliably bring down the opponent with its nimble movements. Its leg strength is strong enough for it to jump sky high, and it is also able to spread out its ears to glide. Although it usually has a cheerful personality, once it is angered it gets out of hand. Its cherished ""D-VI'S 503xx"" [[jeans]] are its obsession.

h4.See Also:

* [[Gummymon]]
** [[Terriermon]]
*** Gargomon
**** [[Rapidmon]]
***** [[MegaGargomon]]"
amazon_weasel,"h4. Taxonomy

* [[musteline|mustelinae]]
** ([i][[weasel|Mustela]][/i])
*** [b]amazon_weasel[/b]

h4. More information

* https://en.wikipedia.org/wiki/Amazon_weasel"
digi,For the snow leopard see -> [[digi_(character)]]
safe_vore,"This tag describes vore scenarios where the prey is consumed (often willingly) and is not digested or otherwise harmed. 

This is an umbrella tag, so please use with other tags to describe how the character is unharmed. Also, to follow TWYS, do not use this tag if a reasonable viewer could see [[imminent_digestion]] in the image instead.

h4. See also
* [[Vore]]
** [b]Safe_Vore[/b]
*** [[Endosoma]] - The prey lives safely and indefinitely within the pred's body, the character isn't implied or shown to be leaving the pred's body
*** [[Full Tour]] - The prey is ingested or inserted at one end of the digestive tract, and travels through to the other end unharmed
*** [[Regurgitation]] - The prey is swallowed, and then ""spat back up"" unharmed, from the same orifice. Not [i]inherently[/i] a vore tag, but often is used for vore.
* [[reformation]] - Not safe vore because the prey is still digested, but also ends with the prey alive."
kikkachu_(commissioner),"Commissions art of their characters due to their self-professed ""no artistic talent whatsoever"".

https://www.furaffinity.net/gallery/comradekikkachu/
https://twitter.com/KikkachuActual/media"
gowiththeflow,"They take requests. Rules about requests ""here."":http://riolewd.tumblr.com/requests"
outline_heart,"thumb #3001527 thumb #2818686 thumb #2615238

An [b]outline heart[/b] is a [[<3|heart symbol]] consisting of only an outline. This means that the background should be fully visible through the center of the heart shape. Outline hearts do not inherit the color of the background, the outline is the heart's primary color. A heart can be assumed to be an outline heart if its middle is indistinguishable from the background.

h4. See also

* [[<3]]
** [[layered_heart]]"
mr._mime,"[b]Mr. Mime[/b] (Japanese: バリヤード Barrierd).  #122 in the National Pokédex, classified as the Barrier [[Pokémon (species)|Pokémon]].  It is a dual-type Psychic/Fairy Pokémon introduced in Generation I: [i]Pokémon Red[/i] and [i]Blue[/i]. Prior to Generation VI, it was a pure Psychic-type Pokémon.

It evolves from [[Mime Jr]]. when leveled up while knowing Mimic.

In Galar, [[Galarian_Mr._Mime|Mr. Mime has an Ice/Psychic-type regional form]]. It evolves into [[Mr. Rime]] starting at level 42. All Mime Jr. in Galar evolve into this form regardless of their origin.

Mr. Mime is a [[bipedal]], [[humanoid]] [[Pokémon]]. Blue growths resembling [[clown]] hair extend from the sides of its pale pink head, and there is a magenta circle on each cheek. Its jaw is curved inward, resembling the mouth of a wooden dummy. It has a round, white body with a magenta spot in the middle, light pink arms and legs that connect to its body via magenta spheres, and small white coverings over its knees. Its white hands resemble gloves with magenta pads on the tips of its white fingers and its dark blue feet curl upward at the tips.

From birth, this Pokémon is an excellent pantomime. As it matures, it gains the ability to solidify air molecules by vibrating its fingertips. This ability allows it to create invisible objects with its gestures. It punishes those who interrupt its act or are not impressed by slapping them. Mr. Mime is usually very rare, but can be found in suburban areas. In the past, Substitute was its signature move.

h4. See Also:

* [[pokémon]]
** [[mime_jr.]]
*** mr._mime"
